Gene,half_life_hr,decay_rate,p_val,geneSymbol
Kif17,3.747398893,-1.687574891,2.61E-05,Kif17
Kif1a,4.6204606,-1.897007318,9.85E-05,Kif1a
Kif1b,2.92668158,-1.440382135,2.49E-05,Kif1b
Kif1c,4.701300439,-1.91435208,6.20E-09,Kif1c
Kif2a,2.696369367,-1.35841911,5.29E-06,Kif2a
Kif21a,3.829395529,-1.709219886,4.63E-05,Kif21a
Kif21b,1.772151063,-0.938707019,0.000758691,Kif21b
Kif3a,4.261533977,-1.816142105,2.56E-06,Kif3a
Kif3b,3.026257353,-1.47383958,8.26E-06,Kif3b
Kif3c,2.748075033,-1.377413599,4.15E-05,Kif3c
Kif4,3.54307533,-1.631508008,0.000412564,Kif4
Kif5a,4.153784761,-1.79053283,0.000128322,Kif5a
Kif5b,4.468861493,-1.863646597,8.14E-06,Kif5b
Kif5c,4.249986393,-1.813428702,4.41E-05,Kif5c
Kif7,2.790538289,-1.392747433,2.98E-05,Kif7
Kif9,4.610407739,-1.89482922,0.002300614,Kif9
Kifap3,4.076964903,-1.771865736,1.08E-05,Kifap3
Kifc5b,3.06081773,-1.485195033,0.000365496,Kifc5b
Kifc2,4.828784458,-1.941107692,8.85E-06,Kifc2
Kifc3,2.989685462,-1.461681106,8.45E-08,Kifc3
Kin,3.11497921,-1.502735399,2.68E-06,Kin
Uhmk1,2.805763212,-1.398188512,0.001248275,Uhmk1
Kit,3.089366077,-1.494478837,3.99E-05,Kit
Fabp5,3.758646457,-1.690571828,6.71E-08,Fabp5
Klc1,4.309296023,-1.827287476,6.89E-09,Klc1
Klc2,3.476354995,-1.61249725,1.23E-06,Klc2
Klf1,1.592135243,-0.831588956,0.022423083,Klf1
Klf12,2.784005181,-1.390403524,0.002396201,Klf12
Klf2,1.697363644,-0.89558917,0.000163416,Klf2
Klf3,1.885312228,-1.000606366,6.45E-06,Klf3
Klf4,2.593564096,-1.319545949,8.17E-08,Klf4
Klf9,2.80271037,-1.397099859,3.95E-07,Klf9
Serpina3c,4.55927385,-1.883676288,0.016613699,Serpina3c
Klra2,3.901249962,-1.727809926,0.004352706,Klra2
Kpna1,3.592366032,-1.645323968,1.88E-05,Kpna1
Kpna2,1.297446265,-0.626910842,0.013401791,Kpna2
Kpna3,3.211436432,-1.533231244,2.84E-06,Kpna3
Kpna4,3.90871085,-1.729720534,1.81E-06,Kpna4
Kpna6,3.011367225,-1.468907124,2.26E-06,Kpna6
Sspn,1.588292382,-0.829172386,4.55E-05,Sspn
Kras,2.778418035,-1.388394634,8.18E-07,Kras
Hivep3,1.567933229,-0.816271258,0.003717174,Hivep3
Mafb,1.452535896,-0.739823843,3.80E-05,Mafb
Krt31,1.743480978,-0.922396598,0.103838987,Krt31
Krt10,5.406416749,-2.054099456,1.30E-05,Krt10
Krt13,4.063252769,-1.768496748,0.009296936,Krt13
Krt14,5.823942961,-2.128490438,8.41E-06,Krt14
Krt15,4.235621808,-1.810043064,1.26E-05,Krt15
Krt16,3.182692461,-1.524240445,1.09E-08,Krt16
Krt17,5.091305421,-1.994047186,7.27E-07,Krt17
Krt18,4.65100421,-1.903596076,2.77E-06,Krt18
Krt19,3.389600619,-1.587225023,0.000123001,Krt19
